timestamp,open,high,low,close,volume
1569715200000,8223.65,8265.99,7943.33,8065.26,226712656.13999996
1569801600000,8065.26,8372.24,7736.96,8314.62,407250929.35999995
1569888000000,8314.62,8537.6,8212.01,8326.64,355446344.42
1569974400000,8326.64,8403.51,8186.3,8391.52,205325219.16000003
1570060800000,8391.52,8434.63,8105.02,8246.3,250685863.87
1570147200000,8246.3,8267.11,8021.3,8168.05,214500278.91000003
1570233600000,8168.05,8232.25,8052.51,8172.48,141685742.44
1570320000000,8172.48,8221.03,7822.65,7868.31,239636660.01000005
1570406400000,7868.31,8326.01,7798.09,8215.11,321239400.7300001
1570492800000,8215.11,8354.19,8126.71,8191.87,173334218.06000003
1570579200000,8191.87,8697.56,8132.74,8593.16,398201725.28999996
1570665600000,8593.16,8672.58,8466.13,8596.57,250267419.87
1570752000000,8596.57,8834.11,8259.77,8278.05,326882172.4200001
1570838400000,8278.05,8439.44,8272.12,8316.66,92609964.74
1570924800000,8316.66,8498.59,8194.16,8296.34,168896951.17000002
1571011200000,8296.34,8414.24,8228.06,8363.94,146015532.86
1571097600000,8363.94,8439.31,8116.92,8173.48,205674618.32
1571184000000,8173.48,8193.41,7945.77,8014.39,274670310.11999995
1571270400000,8014.39,8145.5,7948.95,8082.46,175172893.7
1571356800000,8082.46,8157.36,7850.66,7972.62,221065928.42
1571443200000,7972.62,8108.69,7919.05,7973.63,143202359.40000004
1571529600000,7973.63,8326.13,7911.49,8247.25,205394286.05
1571616000000,8247.25,8359.52,8177.11,8223.25,188511539.88
1571702400000,8223.25,8318.41,8021.36,8034.5,200593851.4
1571788800000,8034.5,8071.8,7336.06,7479.54,457672451.4199999
1571875200000,7479.54,7524.31,7370.13,7444.2,213663114.76
1571961600000,7444.2,8783.85,7431.2,8671.1,656574822.3600001
1572048000000,8671.1,10380.48,8654.84,9258.98,1457875080.4199996
1572134400000,9258.98,9805.42,9114.58,9550.6,614726341.05
1572220800000,9550.6,9934.71,9201.49,9222.23,522287119.68000007
